LOCATION		CONTENT

01100100		00000001
01100101		10010000
01100110		10000100
01100111		00000010
01101000		10010001
01101001		10000100
01101010		00001110
01101011		10011011
01101100		01101111
01101101		10011011
01101110		01110101
01101111		10010000
01110000		10000011
01110001		10010010
01110010		10000101
01110011		10010001
01110100		10000101
01110101		00000001
01110110		10010000
01110111		10000011
01111000		00000011
01111001		10010001
01111010		10000011
01111011		10010000
01111100		10000010
01111101		00001010
01111110		10010001
01111111		10000010
10000000		00001101
10000001		10011011
10000010		01100100
10000011		00001111
10000010		11110111
10000011		00001010
10000100		00000011
10000101		00000000
